cod_mdr,dsc_situacao_contrato_mdr,dsc_situacao_objeto_mdr,programa,acao,uf_SIGLA_UF,mun_MUNNOMEX,Código IBGE,empreendimento,cluster_empreendimento,situacao_obra,situacao_obra_base_validacao,situacao_contrato,prc_fisico,dte_inicio_obra,dte_fim_obra,pop_beneficiada,vlr_investimento,Populacao,mun_ALTITUDE,mun_AREA,dte_antes_60,dte_depois_60,dte_antes_180,dte_depois_180,dte_antes_365,dte_depois_365,cont_antes_60,cont_depois_60,cont_antes_180,cont_depois_180,cont_antes_365,cont_depois_365,razao_antes_depois_60,diferenca_antes_depois_60,razao_antes_depois_180,diferenca_antes_depois_180,razao_antes_depois_365,diferenca_antes_depois_365,tot_veic
2-1029977,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,MS,ITAPORA,5004502.0,DRENAGEM E PAVIMENTAÇÃO ASFALTICA DA RUA ANEDINO RODRIGUES DE SOUZA (ENTRE AS RUAS DOS BOÊMIOS E FIM DE SEMANA) RECAPEAMENTO DA RUA ARAL MOREIRA (ENTRE O CÓRREGO CANHADÃO E RUA PEDRO RODRIGUES),PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2018-10-04,2019-10-01,245,211849.77,25162.0,390.0,1322003.0,2018-08-05,2019-11-30,2018-04-07,2020-03-29,2017-10-04,2020-09-30,4.0,0.0,8.0,9.0,11.0,22.0,inf,4.0,0.8888888888888888,-1.0,0.5,-11.0,11709.0
2-1029978,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,PE,NAZARE DA MATA,2609501.0,AÇÕES DE INFRAESTRUTURA URBANA - PAVIMENTAÇÃO EM PARALELEPÍPEDO DE DIVERSAS RUAS DO MUNICÍPIO DE NAZARÉ DA MATA - PE.,PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2019-12-05,2021-10-01,306,252130.98,32573.0,89.0,150816.0,2019-10-06,2021-11-30,2019-06-08,2022-03-30,2018-12-05,2022-10-01,1.0,1.0,6.0,6.0,15.0,10.0,1.0,0.0,1.0,0.0,1.5,5.0,8238.0
2-1029980,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,BA,JAGUARARI,2917706.0,"CALÇAMENTO DAS VIAS PÚBLICAS DO DISTRITO DE FLAMENGO, MUNICÍPIO DE JAGUARARI-BA",PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2019-06-30,2019-09-01,324,265898.7,33746.0,662.0,2567158.0,2019-05-01,2019-10-31,2019-01-01,2020-02-28,2018-06-30,2020-08-31,0.0,1.0,0.0,6.0,1.0,8.0,0.0,-1.0,0.0,-6.0,0.125,-7.0,8671.0
2-1029982,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,BA,TUCANO,2931905.0,PAVIMENTAÇÃO EM PARALELEPÍPEDOS EM RUAS NA SEDE DO MUNICÍPIO.,PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2019-01-02,2019-04-01,335,276202.7,50798.0,209.0,2801292.0,2018-11-03,2019-05-31,2018-07-06,2019-09-28,2018-01-02,2020-03-31,17.0,10.0,35.0,29.0,65.0,48.0,1.7,7.0,1.206896551724138,6.0,1.3541666666666667,17.0,11793.0
2-1029983,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,GO,POSSE,5218300.0,CONSTRUÇÃO DE PAVIMENTAÇÃO ASFÁLTICA EM RUAS NÃO PAVIMENTADAS DO  MUNICÍPIO DE POSSE-GO.,PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2020-07-24,2023-02-01,306,251000.0,37414.0,811.0,1949632.0,2020-05-25,2023-04-02,2020-01-26,2023-07-31,2019-07-25,2024-02-01,11.0,5.0,21.0,29.0,45.0,62.0,2.2,6.0,0.7241379310344828,-8.0,0.7258064516129032,-17.0,19013.0
2-1029984,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,BA,IRECE,2914604.0,"IMPLANTAÇÃO DE INFRAESTRUTURA URBANA, ATRAVÉS DA CONSTRUÇÃO DE PASSEIOS E MEIO FIO NO MUNICÍPIO DE IRECÊ/BA.",PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2018-11-30,2019-04-01,306,253225.5,73524.0,721.0,313695.0,2018-10-01,2019-05-31,2018-06-03,2019-09-28,2017-11-30,2020-03-31,2.0,0.0,5.0,5.0,8.0,10.0,inf,2.0,1.0,0.0,0.8,-2.0,36006.0
2-1029986,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,MG,SAO JOAO EVANGELISTA,3162807.0,CALÇAMENTO EM BLOQUETE SEXTAVADO DE RUAS DO MUNICÍPIO,IMPLANTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2019-06-27,2019-10-01,306,246096.1,15767.0,690.0,478820.0,2019-04-28,2019-11-30,2018-12-29,2020-03-29,2018-06-27,2020-09-30,7.0,7.0,19.0,16.0,34.0,20.0,1.0,0.0,1.1875,3.0,1.7,14.0,7464.0
2-1029989,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,MA,SAO PEDRO DA AGUA BRANCA,2111532.0,PAVIMENTAÇÃO DE VIAS NO MUNICÍPIO DE SÃO PEDRO DA ÁGUA BRANCA - MA.,PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2019-02-22,2019-10-01,306,249000.0,12735.0,171.0,720492.0,2018-12-24,2019-11-30,2018-08-26,2020-03-29,2018-02-22,2020-09-30,2.0,3.0,9.0,4.0,17.0,8.0,0.6666666666666666,-1.0,2.25,5.0,2.125,9.0,2413.0
2-1029991,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,AL,TAQUARANA,2709103.0,PAVIMENTAÇÃO E DRENAGEM DE RUAS NO MUNICÍPIO DE TAQUARANA-AL.,PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2021-05-04,2021-05-01,306,249658.88,20072.0,159.0,166477.0,2021-03-05,2021-06-30,2020-11-05,2021-10-28,2020-05-04,2022-05-01,2.0,3.0,16.0,16.0,35.0,29.0,0.6666666666666666,-1.0,1.0,0.0,1.206896551724138,6.0,4985.0
2-1029993,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,AL,TAQUARANA,2709103.0,PAVIMENTAÇÃO E DRENAGEM DE RUAS NO MUNICÍPIO DE TAQUARANA-AL.,PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2020-12-23,2020-12-01,613,498824.78,20072.0,159.0,166477.0,2020-10-24,2021-01-30,2020-06-26,2021-05-30,2019-12-24,2021-12-01,10.0,7.0,23.0,13.0,38.0,28.0,1.4285714285714286,3.0,1.7692307692307692,10.0,1.3571428571428572,10.0,4985.0
2-1029994,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,AL,MESSIAS,2705200.0,RECAPEAMENTO ASFÁLTICO DE RUAS DO CONJUNTO TEOTÔNIO VILELA NO MUNICÍPIO DE MESSIAS/AL.,RECAPEAMENTO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2018-09-10,2020-01-01,367,296953.48,18031.0,148.0,112856.0,2018-07-12,2020-03-01,2018-03-14,2020-06-29,2017-09-10,2020-12-31,5.0,3.0,11.0,7.0,14.0,16.0,1.6666666666666667,2.0,1.5714285714285714,4.0,0.875,-2.0,2655.0
2-1029995,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,PB,CABEDELO,2503209.0,ELABORAÇÃO DE PROJETO EXECUTIVO E EXECUÇÃO DE OBRA INTEGRADA DE REABILITAÇÃO URBANA  NA PRAIA DO POÇO EM CABEDELO - PB,PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2020-01-21,2020-06-01,1024,836263.56,68767.0,3.0,31265.0,2019-11-22,2020-07-31,2019-07-25,2020-11-28,2019-01-21,2021-06-01,7.0,9.0,20.0,23.0,56.0,73.0,0.7777777777777778,-2.0,0.8695652173913043,-3.0,0.7671232876712328,-17.0,26696.0
2-1029998,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,MG,MUTUM,3144003.0,PAVIMENTAÇÃO EM VIAS PÚBLICAS NO MUNICÍPIO DE MUTUM - MG.,PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2018-09-04,2019-07-01,429,347659.79,26961.0,230.0,1255800.0,2018-07-06,2019-08-30,2018-03-08,2019-12-28,2017-09-04,2020-06-30,1.0,2.0,1.0,9.0,1.0,14.0,0.5,-1.0,0.1111111111111111,-8.0,0.0714285714285714,-13.0,12123.0
2-1029999,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,BA,GANDU,2911204.0,"IMPLANTAÇÃO DE PAVIMENTAÇÃO COM PARALELEPÍPEDOS E DRENAGEM COM EXECUÇÃO DE PASSEIOS PÚBLICOS, EM VIAS PÚBLICAS URBANAS NO MUNICÍPIO DE GANDU-BA",IMPLANTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2019-02-02,2019-12-01,547,446400.0,32596.0,164.0,229121.0,2018-12-04,2020-01-30,2018-08-06,2020-05-29,2018-02-02,2020-11-30,4.0,3.0,5.0,5.0,7.0,10.0,1.3333333333333333,1.0,1.0,0.0,0.7,-3.0,10981.0
2-1030002,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,MG,SANTA MARGARIDA,3157906.0,RECAPEAMENTO ASFÁLTICO EM VÁRIAS RUAS DO MUNICÍPIO DE SANTA MARGARIDA,PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2019-01-31,2019-09-01,306,246096.1,16302.0,720.0,256183.0,2018-12-02,2019-10-31,2018-08-04,2020-02-28,2018-01-31,2020-08-31,1.0,1.0,2.0,2.0,4.0,11.0,1.0,0.0,1.0,0.0,0.3636363636363636,-7.0,9231.0
2-1030003,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,MS,BONITO,5002209.0,DRENAGEM E PAVIMENTAÇÃO ASFÁLTICA DE VIAS PÚBLICAS LOCALIZADAS NO CENTRO DO MUNICÍPIO DE BONITO/MS.,PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2019-09-01,2020-01-01,490,548879.92,22190.0,315.0,4934318.0,2019-07-03,2020-03-01,2019-03-05,2020-06-29,2018-09-01,2020-12-31,20.0,18.0,47.0,43.0,103.0,97.0,1.1111111111111112,2.0,1.0930232558139534,4.0,1.0618556701030928,6.0,13159.0
2-1030005,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,MG,PARA DE MINAS,3147105.0,PAVIMENTAÇÃO E/OU RECAPEAMENTO DE VIAS NO MUNICÍPIO DE PARÁ DE MINAS/MG,RECAPEAMENTO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2018-02-15,2018-08-01,306,249100.0,94808.0,791.0,550991.0,2017-12-17,2018-09-30,2017-08-19,2019-01-28,2017-02-15,2019-08-01,19.0,16.0,55.0,49.0,127.0,98.0,1.1875,3.0,1.1224489795918366,6.0,1.2959183673469388,29.0,68069.0
2-1030006,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,MG,PARACATU,3147006.0,REVITALIZAÇÃO DE PRAÇAS PÚBLICAS NO MUNICÍPIO DE PARACATU-MG,PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2021-07-28,2022-11-01,306,291778.73,93862.0,687.0,8232233.0,2021-05-29,2022-12-31,2021-01-29,2023-04-30,2020-07-28,2023-11-01,3.0,2.0,4.0,2.0,6.0,7.0,1.5,1.0,2.0,2.0,0.8571428571428571,-1.0,51055.0
2-1030017,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,AL,JOAQUIM GOMES,2703809.0,PAVIMENTAÇÃO EM PARALELEPÍPEDO E DRENAGEM.,PAVIMENTACAO,OBJETO CONCLUÍDO,OBJETO CONCLUÍDO,CONCLUÍDO,100.0,2018-05-08,2022-12-01,306,246100.0,24081.0,104.0,238595.0,2018-03-09,2023-01-30,2017-11-09,2023-05-30,2017-05-08,2023-12-01,1.0,1.0,7.0,5.0,15.0,6.0,1.0,0.0,1.4,2.0,2.5,9.0,2743.0
2-1030018,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,MG,GUAXUPE,3128709.0,CONSTRUÇÃO DO TERMINAL URBANO NO MUNICÍPIO DE GUAXUPÉ/MG - SEGUNDA ETAPA.,IMPLANTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2019-12-20,2020-06-01,613,569633.75,52078.0,829.0,285913.0,2019-10-21,2020-07-31,2019-06-23,2020-11-28,2018-12-20,2021-06-01,10.0,21.0,32.0,47.0,65.0,66.0,0.4761904761904761,-11.0,0.6808510638297872,-15.0,0.9848484848484848,-1.0,35206.0
2-1030021,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,AL,JOAQUIM GOMES,2703809.0,PAVIMENTAÇÃO EM PARALELEPÍPEDO E DRENAGEM,PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2020-02-22,2022-12-01,367,300000.0,24081.0,104.0,238595.0,2019-12-24,2023-01-30,2019-08-26,2023-05-30,2019-02-22,2023-12-01,1.0,1.0,8.0,5.0,19.0,6.0,1.0,0.0,1.6,3.0,3.1666666666666665,13.0,2743.0
2-1030026,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,MG,GUARANESIA,3128303.0,PAVIMENTAÇÃO ASFÁLTICA,PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2018-02-12,2019-02-01,362,291474.66,19017.0,751.0,294007.0,2017-12-14,2019-04-02,2017-08-16,2019-07-31,2017-02-12,2020-02-01,1.0,3.0,3.0,7.0,13.0,8.0,0.3333333333333333,-2.0,0.4285714285714285,-4.0,1.625,5.0,12071.0
2-1030031,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,AL,MATRIZ DE CAMARAGIBE,2705101.0,PAVIMENTAÇÃO EM DIVERSAS RUAS DO CONJUNTO CÍCERO CAVALCANTE NO MUNICÍPIO DE MATRIZ DE CAMARAGIBE.,PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2021-11-20,2023-01-01,687,582398.78,24634.0,16.0,330061.0,2021-09-21,2023-03-02,2021-05-24,2023-06-30,2020-11-20,2024-01-01,5.0,0.0,12.0,8.0,24.0,22.0,inf,5.0,1.5,4.0,1.0909090909090908,2.0,4168.0
2-1030036,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,CE,ITAREMA,2306553.0,PAVIMENTAÇÃO NO MUNICÍPIO DE ITAREMA-CE,PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2019-08-01,2021-10-01,429,352753.74,42215.0,34.0,720668.0,2019-06-02,2021-11-30,2019-02-02,2022-03-30,2018-08-01,2022-10-01,14.0,11.0,29.0,19.0,47.0,50.0,1.2727272727272727,3.0,1.5263157894736843,10.0,0.94,-3.0,10151.0
2-1030041,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,MA,SAO VICENTE FERRER,2111706.0,IMPLANTAÇÃO DE PAVIMENTAÇÃO EM BLOQUETES COM DRENAGEM PLUVIAL NO CASAGRANDE LOCALIZADO NA ZONA URBANA DESTE MUNICÍPIO. (VIA DE ACESSO AS ILHAS ALAGADAS),PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2019-10-21,2019-11-01,306,250000.0,22350.0,16.0,390404.0,2019-08-22,2019-12-31,2019-04-24,2020-04-29,2018-10-21,2020-10-31,6.0,3.0,13.0,13.0,20.0,24.0,2.0,3.0,1.0,0.0,0.8333333333333334,-4.0,2538.0
2-1030046,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,MG,FRANCISCO SA,3126703.0,CALÇAMENTO QUE BLOQUETES DE RUAS DOS BAIRRO OSVALDO LOURENÇO NO MUNICÍPIO DE FRANCISCO SÁ - MG.,IMPLANTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2018-08-10,2021-07-01,613,493593.59,26369.0,656.0,2749393.0,2018-06-11,2021-08-30,2018-02-11,2021-12-28,2017-08-10,2022-07-01,1.0,0.0,4.0,1.0,6.0,4.0,inf,1.0,4.0,3.0,1.5,2.0,8030.0
2-1030048,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,MG,BOM REPOUSO,3107901.0,CALÇAMENTO COM BLOQUETES SEXTAVADOS EM DIVERSAS RUAS DO MUNICÍPIO.,IMPLANTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2018-05-31,2018-12-01,306,251332.5,10537.0,1375.0,229785.0,2018-04-01,2019-01-30,2017-12-02,2019-05-30,2017-05-31,2019-12-01,5.0,0.0,7.0,6.0,8.0,9.0,inf,5.0,1.1666666666666667,1.0,0.8888888888888888,-1.0,7509.0
2-1030050,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,BA,SALINAS DA MARGARIDA,2927309.0,REVITALIZAÇÃO DO CANTEIRO CENTRAL DA AVENIDA PRESIDENTE VARGAS,IMPLANTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2018-01-01,2018-11-01,305,245850.0,15862.0,6.0,148327.0,2017-11-02,2018-12-31,2017-07-05,2019-04-30,2017-01-01,2019-11-01,0.0,0.0,0.0,1.0,0.0,2.0,,0.0,0.0,-1.0,0.0,-2.0,1339.0
2-1030051,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,MA,SAO MATEUS DO MARANHAO,2111508.0,PAVIMENTACAO ASFALTICA E DRENAGEM SUPERFICIAL NA SEDE DO MUNICIPIO DE SAO MATEUS DO MARANHAO/MA.,PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2019-02-25,2019-04-01,2457,1987000.0,41579.0,44.0,783224.0,2018-12-27,2019-05-31,2018-08-29,2019-09-28,2018-02-25,2020-03-31,42.0,43.0,116.0,140.0,216.0,248.0,0.9767441860465116,-1.0,0.8285714285714286,-24.0,0.8709677419354839,-32.0,10181.0
2-1030057,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,GO,JUSSARA,5212204.0,PAVIMENTAÇÃO ASFÁLTICA EM DIVERSAS RUAS E AVENIDAS DESTE MUNICÍPIO.,PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2018-10-10,2019-01-01,306,293700.48,18371.0,317.0,4092456.0,2018-08-11,2019-03-02,2018-04-13,2019-06-30,2017-10-10,2020-01-01,10.0,1.0,30.0,18.0,52.0,30.0,10.0,9.0,1.6666666666666667,12.0,1.7333333333333334,22.0,16498.0
2-1030058,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,MG,INHAPIM,3130903.0,PAVIMENTAÇÃO EM BLOCKETS DE CONCRETO EM VIAS PÚBLICAS URBANAS,PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2018-01-24,2019-01-01,406,327093.04,24079.0,482.0,847837.0,2017-11-25,2019-03-02,2017-07-28,2019-06-30,2017-01-24,2020-01-01,1.0,3.0,6.0,12.0,12.0,16.0,0.3333333333333333,-2.0,0.5,-6.0,0.75,-4.0,12855.0
2-1030061,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,MG,CARATINGA,3113404.0,OBRAS DE PAVIMENTAÇÃO NO DISTRITO DE DOM LARA,PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2019-01-10,2019-10-01,490,398181.82,92603.0,578.0,1250874.0,2018-11-11,2019-11-30,2018-07-14,2020-03-29,2018-01-10,2020-09-30,7.0,11.0,45.0,21.0,86.0,27.0,0.6363636363636364,-4.0,2.142857142857143,24.0,3.185185185185185,59.0,45246.0
2-1030063,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,MG,ITABIRINHA,3131802.0,REFORMA DE PRAÇAS PÚBLICAS,IMPLANTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2018-08-08,2018-12-01,367,299854.01,11576.0,330.0,208059.0,2018-06-09,2019-01-30,2018-02-09,2019-05-30,2017-08-08,2019-12-01,4.0,1.0,8.0,6.0,19.0,19.0,4.0,3.0,1.3333333333333333,2.0,1.0,0.0,5765.0
2-1030064,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,GO,SAO MIGUEL DO ARAGUAIA,5220207.0,CONSTRUÇÃO DO PARQUE LINEAR DO SETOR CRISTAL NO PERÍMETRO URBANO DO MUNICÍPIO DE SÃO MIGUEL DO ARAGUAIA - GO.,IMPLANTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2019-03-30,2020-02-01,306,254635.51,21920.0,337.0,6144380.0,2019-01-29,2020-04-01,2018-10-01,2020-07-30,2018-03-30,2021-01-31,3.0,5.0,14.0,18.0,36.0,42.0,0.6,-2.0,0.7777777777777778,-4.0,0.8571428571428571,-6.0,14605.0
2-1030068,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,BA,ITAMARAJU,2915601.0,"PAVIMENTAÇÃO E DRENAGEM EM BLOQUETE SEXTAVADO SOBRE COXIM DE AREIA NAS DIVERSAS RUAS DO MUNICÍPIO DE ITAMARAJU/BAHIA. O MUNICÍPIO DE ITAMARAJU, POSSUI 100% DO MUNICÍPIO COM ESGOTAMENTO SANITÁRIO E ABASTECIMENTO DE ÁGUA (FORNECIDO PELA CONCESSIONÁRIA DO GO",PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2018-11-21,2019-06-01,539,453760.0,64455.0,112.0,2369912.0,2018-09-22,2019-07-31,2018-05-25,2019-11-28,2017-11-21,2020-05-31,3.0,1.0,16.0,9.0,36.0,26.0,3.0,2.0,1.7777777777777777,7.0,1.3846153846153846,10.0,23365.0
2-1030069,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,CE,MOMBACA,2308500.0,PAVIMENTAÇÃO NO MUNICÍPIO DE MOMBAÇA/CE.,PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2018-11-03,2019-09-01,859,691600.0,43858.0,244.0,2119462.0,2018-09-04,2019-10-31,2018-05-07,2020-02-28,2017-11-03,2020-08-31,7.0,6.0,16.0,29.0,42.0,52.0,1.1666666666666667,1.0,0.5517241379310345,-13.0,0.8076923076923077,-10.0,13086.0
2-1030072,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,CE,ACOPIARA,2300309.0,PAVIMENTAÇÃO EM VIAS URBANAS NA SEDE DO MUNICÍPIO DE ACOPIARA-CE.,PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2020-01-06,2020-01-01,306,246350.0,54481.0,317.0,2265316.0,2019-11-07,2020-03-01,2019-07-10,2020-06-29,2019-01-06,2020-12-31,7.0,6.0,22.0,17.0,46.0,51.0,1.1666666666666667,1.0,1.2941176470588236,5.0,0.9019607843137256,-5.0,17245.0
2-1030073,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,BA,FLORESTA AZUL,2911006.0,PAVIMENTAÇÃO DE DIVERSAS RUAS NA SEDE DO MUNICÍPIO DE FLORESTA AZUL - BAHIA,PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2018-05-24,2019-07-01,367,301206.0,10575.0,186.0,351596.0,2018-03-25,2019-08-30,2017-11-25,2019-12-28,2017-05-24,2020-06-30,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,,0.0,1.0,0.0,1505.0
2-1030074,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,MG,MANHUMIRIM,3139508.0,PAVIMENTAÇÃO DE RUAS NO MUNICÍPIO DE MANHUMIRIM/MG.,PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2019-07-09,2020-08-01,552,444094.09,22802.0,611.0,183588.0,2019-05-10,2020-09-30,2019-01-10,2021-01-28,2018-07-09,2021-08-01,6.0,7.0,14.0,22.0,27.0,43.0,0.8571428571428571,-1.0,0.6363636363636364,-8.0,0.627906976744186,-16.0,11938.0
2-1030078,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,PE,CAETES,2603207.0,IMPLANTAÇÃO DE PAVIMENTAÇÃO (PARALELEPÍPEDO) EM RUAS E AVENIDAS DE CAETÉS PE.,PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2019-12-21,2021-03-01,658,530296.31,28904.0,849.0,330472.0,2019-10-22,2021-04-30,2019-06-24,2021-08-28,2018-12-21,2022-03-01,1.0,2.0,4.0,3.0,5.0,6.0,0.5,-1.0,1.3333333333333333,1.0,0.8333333333333334,-1.0,5542.0
2-1030080,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,PE,CAETES,2603207.0,IMPLANTAÇÃO DE PAVIMENTAÇÃO (PARALELEPÍPEDO) EM RUAS E AVENIDAS DE CAETÉS PE.,PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2020-01-29,2021-03-01,306,264703.93,28904.0,849.0,330472.0,2019-11-30,2021-04-30,2019-08-02,2021-08-28,2019-01-29,2022-03-01,2.0,2.0,4.0,3.0,7.0,6.0,1.0,0.0,1.3333333333333333,1.0,1.1666666666666667,1.0,5542.0
2-1030081,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,BA,CAMPO FORMOSO,2906006.0,PAVIMENTAÇÃO EM PARALELEPÍPEDOS EM DIVERSAS RUAS NESTE MUNICÍPIO.,PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2019-06-10,2020-02-01,613,520000.0,71487.0,556.0,6806097.0,2019-04-11,2020-04-01,2018-12-12,2020-07-30,2018-06-10,2021-01-31,9.0,11.0,26.0,26.0,58.0,65.0,0.8181818181818182,-2.0,1.0,0.0,0.8923076923076924,-7.0,17935.0
2-1030082,CONTRATADO - CONCLUIDO,CONCLUIDA,EMENDAS,1D73,MA,ALDEIAS ALTAS,2100303.0,IMPLANTAÇÃO DE PAVIMENTAÇÃO EM DIVERSAS VIAS PÚBLICAS NOS DO MUNICÍPIO,PAVIMENTACAO,OBJETO CONCLUÍDO,PARALISADA,CONCLUÍDO,100.0,2020-11-30,2022-07-01,401,327174.0,26757.0,94.0,1942128.0,2020-10-01,2022-08-30,2020-06-03,2022-12-28,2019-12-01,2023-07-01,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0,-1.0,0.0,-1.0,3087.0
